,MetadataField,Metadata
0,NSGL Document #:,SCU-Q-85-002
1,Sea Grant Program/Affiliate:,Southern California Sea Grant
2,Title:,University of Southern California (USC) Sea Grant 1984-85 Annual Report
3,Author:,"Lawrence, Sally"
4,Editor :,"Charest, Karen S."
5,Publication Year :,1986
6,Publisher:,"USC Sea Grant Institutional Program, Institute for Marine and Coastal Studies"
7,# Pages / Video Length:,86
8,Publication Type:,"program reports (annual, progress, planning reports, etc)"
9,Program Report #:,USCSG-SR-01-86
10,Grant/Contract #:,NA 84AA-D-00061
