,MetadataField,Metadata
0,NSGL Document #:,CUIMR-R-86-012
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,"Jasplakinolide, a cyclodepsipepti​de from the marine sponge, ""Jaspis"" sp"
3,Author:,"Crews, Phillip"
4,,"Manes, Lawrence V."
5,,"Boehler, Mark"
6,Publication Year :,1986
7,Source Citation:,"""Tetrahedron Letters,"" 27(25):2797-​2800, 1986."
8,Publication Type:,reprints (peer-reviewed)
9,Project #:,R/MP-33
10,Abstract:,"A new cyclodepsipepti​de, comprising three amino acids and an oxy-​trimethyl-​nonanoyl group, has been characterized which has antifungal and anthelmintic bioactivity."
