,MetadataField,Metadata
0,NSGL Document #:,CUIMR-R-97-004
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,"Two new sesterterpenoid​s and a new 9,11-secosterol from ""Spongia matamata."""
3,Author:,"Lu, Qing"
4,,"Faulkner, D. John"
5,Publication Year :,1997
6,Source Citation:,"""Journal of Natural Products,"" 60(2):195-198, 1997."
7,# Pages / Video Length:,4
8,Publication Type:,reprints (peer-reviewed)
9,Project #:,R/MP-60
10,Abstract:,"Two novel sesterterpenoid​s and a new 9,11-secosterol were isolated from the marine sponge ""Spongia matamata"" from Palau together with several known compounds. The structures were determined by interpretation of spectroscopic data."
