,MetadataField,Metadata
0,NSGL Document #:,CASG-R-04-031
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,"Characterizatio​n of microsatellite loci in ""Spartina"" species (Poaceae)"
3,Author:,"Blum, Michael J."
4,,"Sloop, Christina M."
5,,"Ayres, Debra R."
6,,"Strong, Donald R."
7,Publication Year :,2004
8,Source Citation:,"""Molecular Ecology Notes,"" 4:39-42, 2004."
9,# Pages / Video Length:,4
10,Publication Type:,reprints (peer-reviewed)
11,Project #:,R/CZ-176
12,Abstract:,"The cordgrasses in the genus ""Spartina"" have become model organisms for studying biological invasions from both ecological and genetic perspectives. Here the authors characterize 11 disomic loci in ""Spartina alterniflora"" that show promise for population studies and for studying hybridization events between ""S. alterniflora"" and ""S. foliosa."" Comparisons among invasive and native ""S. alterniflora"" populations showed that levels of allelic variation are lower in invasive populations. In addition, nearly all loci that amplified in ""S. foliosa"" populations and in a swarm of ""S. alterniflora"" x ""foliosa"" hybrids were polymorphic. The authors found that several loci amplified successfully in other ""Spartina"" species."
