,MetadataField,Metadata
0,NSGL Document #:,CUIMR-R-99-014
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,Microbial symbionts of marine invertebrates: opportunities for microbial biotechnology
3,Author:,"Haygood, Margo G."
4,,"Schmidt, Eric W."
5,,"Davidson, Seana K."
6,,"Faulkner, D. John"
7,Publication Year :,1999
8,Source Citation:,"""Journal of Molecular and Microbiological Biotechnology,"" 1(1):33-43, 1999."
9,# Pages / Video Length:,11
10,Publication Type:,reprints (peer-reviewed)
11,Project #:,R/MP-61
12,Abstract:,"Marine invertebrates are sources of a diverse array of bioactive metabolites with great potential for development as drugs and research tools. In many cases, microorganisms are known or suspected to be the biosynthetic source of marine invertebrate natural products. Microbial symbioses have been described from most phyla of marine invertebrates: Porifera, Cnidaria, Bryozoa, Mollusca, Pogonophora, Echinodermata, Urochordata and Crustacea. Symbionts include bacteria, archaea and unicellular eukaryotes such as dinoflagellates​. Interesting natural products have been found particularly in sponges, ascidians, cnidarians, bryozoans, and nudibranchs. This article describes examples of both simple and complex symbiotic systems, focusing on bryozoans and sponges."
