,MetadataField,Metadata
0,NSGL Document #:,CUIMR-R-91-005
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,"Infestation by brood symbionts and their impact on egg mortality of the red king crab, ""Paralithodes camtschatica"", in Alaska: geographic and temporal variation"
3,Author:,"Kuris, A. M."
4,,"Blau, S. F."
5,,"Paul, A. J."
6,,"Shields, J. D."
7,,"Wickham, D. E."
8,Publication Year :,1991
9,Source Citation:,"""Canadian Journal of Fisheries and Aquatic Sciences,"" 48(4):559-568, 1991."
10,# Pages / Video Length:,10
11,Publication Type:,reprints (peer-reviewed)
12,Project #:,RC84-01
13,,M/79-01
14,,R/F-AL-B
15,Abstract:,"In the 1980-81 seasons, 81,200 tons of red king crab were harvested, the third highest yield in the history of the fishery. Three years later the harvest declined precipitously to 1000 tons, the lowest catch in over 30 years. A sample program was begun in 1983, over a large portion of the geographic range of ""Paralithodes camtschatica"", to investigate the decline observed in some stocks coincident with reports of massive egg mortalities and high-intensity infestations of nemerteans. The goal here was to determine the role of ""Carcinonemerte​s"" with respect to crab egg losses and evaluate its occurrence and impact over the range of the red king crab in Alaska. The role of ""C. regicides"" as an egg predator was established by laboratory observations including an experimental study of egg mortality in captive female crabs."
