,MetadataField,Metadata
0,NSGL Document #:,CASG-WR-95-001
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,Does Intense Male Harvest Limit Egg Production of Protected Female Stocks of Dungeness Crab?
3,Author:,"Hankin, David G."
4,,"Butler, Terrance H."
5,,"Wild, Paul W."
6,,"Xue, Qian-Li"
7,Publication Year :,1996
8,Source Citation:,"High Latitude Crabs: Biology, Management, and Economics: Proceedings of the International Symposiuim on Biology, Management, and Economics of Crabs from High Latitude Habitats (AK-SG-96-02, 13th Lowell Wakefield Fisheries Symposiuim), pp. 507-510, Anchorage, Alaska, October 11-13, 1995"
9,# Pages / Video Length:,4
10,Publication Type:,reprints (not peer-reviewed)
11,Program Report #:,Alaska Sea Grant Report No. 96-02
12,Notes:,See also: AKU-W-95-002 for this paper
