,MetadataField,Metadata
0,NSGL Document #:,CUIMR-R-85-039
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,Kinetics of chitinase production. I. Chitin hydrolysis
3,Author:,"Young, Manuel E."
4,,"Bell, Richard L."
5,,"Carroad, Paul A."
6,Publication Year :,1985
7,Source Citation:,"""Biotechnology and Bioengineering,​"" 27:769-775, 1985."
8,Publication Type:,reprints (peer-reviewed)
9,Project #:,R/F-34
10,Abstract:,"Using chitinase produced by ""Serratia marcescens"" QMB 1466, the different mass transport and kinetic steps involved during chitin hydrolysis were studied. Experimental results show a system kinetically limited by the overall rate of chitin hydrolysis. This rate is linearly related to the concentration of enzyme adsorbed on the chitin particle. Adsorbed and bulk enzyme concentration were found to be related through a Langmuir type of isotherm."
