,MetadataField,Metadata
0,NSGL Document #:,CUIMR-R-96-014
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,"A psychrophilic crenarchaeon inhabits a marine sponge: ""Cenarchaeum symbiosum"" gen. nov., sp. nov"
3,Author:,"Preston, Christina M."
4,,"Wu, Ke Ying"
5,,"Molinski, Tadeusz F."
6,,"DeLong, Edward F."
7,Publication Year :,1996
8,Source Citation:,"""Proceedings of the National Academy of Sciences USA,"" 93:6241-6246, June 1996."
9,# Pages / Video Length:,6
10,Publication Type:,reprints (peer-reviewed)
11,Project #:,R/MP-57
12,Abstract:,"Archaea, was thought to predominantly comprise microorganisms that inhabit extreme environments inhospitable to most Eucarya and Bacteria. However, molecular phylogenetic surveys of native microbial assemblages are beginning to indicate that the evolutionary and physiological diversity of Archaea are far greater than previously supposed. The authors report the discovery and preliminary characterizatio​n of a marine archaeon that inhabits the tissues of a temperate water sponge. The association was specific, with a single crenarchaeal phylotype inhabiting a single sponge host species. To the authors' knowledge, this partnership represents the first described symbiosis involving Crenarchaeota."
