,MetadataField,Metadata
0,NSGL Document #:,CUIMR-R-85-087
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,"Absolute configuration of crinitol: an acyclic diterpene insect growth inhibitor from the red alga ""Sargassum tortile"""
3,Author:,"Kubo, Isao"
4,,"Matsumoto, Takeshi"
5,,"Ichikawa, Nobutaka"
6,Publication Year :,1985
7,Source Citation:,"""Chemistry Letters,"" pp. 249-252, 1985."
8,Publication Type:,reprints (peer-reviewed)
9,Project #:,R/MP-35
10,Abstract:,"In the course of a search for bioactive natural products, the crude methanol extract of the alga ""Sargassum tortile"" showed insect growth inhibitory activity. Bioassay-​directed purification of the methanol extract led to the isolation of a colorless liquid as the only active principle, and the compound was identified as crinitol, previously isolated from the marine alga ""Cystoseira crinita."" In this paper, the absolute configuration of the insect growth inhibitor crinitol is reported as established by application of the recently developed acyclic allylic benzoate method."
