,MetadataField,Metadata
0,NSGL Document #:,CASG-V-19-001
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,What is the California commercial fishing apprenticeship program? (video)
3,Author:,"Bauman, Lindsay"
4,,"Clausnitzer, Simona"
5,,"Huang, Kevin"
6,,"Martin, Lauren"
7,,"Davidson, Andrea Sanchez"
8,Publication Year :,2019
9,# Pages / Video Length:,3:25 minutes
10,Publication Type:,videos
11,Grant/Contract #:,NA18OAR4170073
12,Project #:,A/EA-18
13,Notes:,"Published on YouTube August 9, 2019"
14,URL:,https://www.you​tube.com/watch?​v=vxo1T-​2HlTw
15,Abstract:,"The California Sea Grant Commercial Fishing Apprentice Program (planned launch 2020) will help educate young people about the opportunities in commercial fishing, as well as the regulations, skills and co-management approaches necessary to keep commercial fishing economically, ecologically and socially sustainable. https://go.ucsd​.edu/2imTkyJ This film was produced by Scripps Institution of Oceanography Master of Advanced Studies Marine Biodiversity and Conservation students Lindsay Bauman, Simona Clausnitzer, Kevin Huang, Lauren Martin, and Andrea Sanchez Davidson. They filmed and edited the video during in three days during the program's film week."
