,MetadataField,Metadata
0,NSGL Document #:,CASG-B-07-001
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,San Diego Bay: a story of exploitation and restoration
3,Author:,"Students, of Gary and Jerri-Ann Jacobs High Tech High"
4,,"Goodall, Jane (foreward)"
5,Publication Year :,2007
6,# Pages / Video Length:,350
7,Publication Type:,books
8,Project #:,C/P-1
9,Abstract:,"San Diego Bay: A story of exploitation and restoration, features historic and current photos, including some never before seen in public. The book was researched, written and designed by students at High Tech High School in San Diego."" A beautiful, inspiring and fascinating book that mines the rich history of San Diego Bay,"" says Erika Check of Nature magazine. ""A creative and thorough portrayal of marine resource utilization in San Diego,"" says Paul Dayton of the Scripps Institution of Oceanography. ""A thoughtful collection of environmental lessons learned from the history of the Bay,"" says Michael Hager of the San Diego Natural History Museum. ""Solid research by high school students to understand the ever-changing world around them... I applaud their work,"" says environmental artist Wyland."
