,MetadataField,Metadata
0,NSGL Document #:,CASG-S-10-001
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,Monitoring MPAs by SCUBA in waters off Central California: 2007/8 results of PISCO baseline monitoring surveys
3,Author:,"Carr, Mark"
4,,"Malone, Dan"
5,,"Lonhart, Steve"
6,,"Selbie, Hugo"
7,Publication Year :,2010
8,Publisher:,Pisco
9,# Pages / Video Length:,13
10,Publication Type:,technical reports/surveys​/patents
11,Program Report #:,T-068
12,Project #:,R/MPA-1
13,Abstract:,The survey design and sampling protocols were modeled after large-scaled long-term kelp forest monitoring program developed by PISCO.
