,MetadataField,Metadata
0,NSGL Document #:,CUIMR-R-92-001
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,"Chemistry and chemical ecology of the Bahamian sponge ""Aplysilla glacialis"""
3,Author:,"Bobzin, Steven C."
4,,"Faulkner, D. John"
5,Publication Year :,1992
6,Source Citation:,"""Journal of Chemical Ecology,"" 18(3):309-332, 1992."
7,# Pages / Video Length:,22
8,Publication Type:,reprints (peer-reviewed)
9,Project #:,R/MP-46
10,Abstract:,"Chemical investigation of the secondary metabolites of the marine sponge ""Aplysilla glacialis"", collected at French Wells in the Bahamas, resulted in the isolation and characterizatio​n of four diterpenes, two sterol endoperoxides, and two methylated primary metabolites. Some of these compounds, along with crude extracts of the sponge, were investigated for their ability to deter fish predation, affect the fouling of surfaces, and inhibit the growth of marine microorganisms."
