,MetadataField,Metadata
0,NSGL Document #:,SCU-Q-15-002
1,Sea Grant Program/Affiliate:,Southern California Sea Grant
2,Title:,USC Sea Grant Achievements 2014 -2015
3,Author:,"Rindge, Holly"
4,Publication Year :,2017
5,# Pages / Video Length:,2
6,Publication Type:,"program reports (annual, progress, planning reports, etc)"
7,Abstract:,"USC Sea Grant is pleased to share a flyer that highlights our impacts and achievements in 2014-2015. Our workshops, trainings, and education programs reached more than 59,000 urban residents! Key work included advancements in coastal hazard resilience, ports and maritime transportation, education initiatives, and research applied to solve some of our most pressing urban ocean issues."
