,MetadataField,Metadata
0,NSGL Document #:,CUIMR-R-89-002
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,Estimation of wave radiation stresses from slope array data
3,Author:,"Herbers, T. H. C."
4,,"Guza, R. T."
5,Publication Year :,1989
6,Source Citation:,"""Journal of Geophysical Research,"" 94(C2):2099-​2104, February 15, 1989."
7,Publication Type:,reprints (peer-reviewed)
8,Project #:,R/OE-4
9,Abstract:,"The excess momentum fluxes due to the presence of surface gravity waves, radiation stresses, are the principle driving forces for important coastal phenomena such as wave setup and longshore currents. Measurements of these stresses have practical value to coastal engineers and are routinely collected at various coastal sites. These data are often obtained with a `slope array', a small square array of four bottom-mounted pressure sensors."
