,MetadataField,Metadata
0,NSGL Document #:,CUIMR-R-97-045
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,"Molecular cloning and characterizatio​n of lustrin A, a matrix protein from shell and pearl nacre of ""Haliotis rufescens"""
3,Author:,"Shen, Xueyu"
4,,"Belcher, Angela M."
5,,"Hansma, Paul K."
6,,"Stucky, Galen D."
7,,"Morse, Daniel E."
8,Publication Year :,1997
9,Source Citation:,"""The Journal of Biological Chemistry,"" 272(51):32472- 32481, 1997."
10,# Pages / Video Length:,9
11,Publication Type:,reprints (peer-reviewed)
12,Project #:,R/MP-65
13,Abstract:,"The authors have cloned and characterized the cDNA coding for Lustrin A, a newly described matrix protein from the nacreous layer of the shell and pearl produced by the abalone, ""Haliotis rufescens"". The amino acid sequence shows similarity to proteins of two extracellular matrix superfamilies. The arrangement of alternating cysteine-rich and proline-rich domains is similar to that found in frustulins. The modular structure suggests that it is a multifunctional protein, whereas the occurrence of related sequences suggests it is a member of a multiprotein family."
