,MetadataField,Metadata
0,NSGL Document #:,CUIMR-R-82-061
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,Chondrichthyes cannot resorb implanted bone and have calcium-​regulating hormones
3,Author:,"Glowacki, J."
4,,"Deftos, L. J."
5,,"Mayer, E."
6,,"Norman, A. W."
7,,"Henry, H."
8,Publication Year :,1982
9,Source Citation:,"""Vitamin D, Chemical, Biochemical and Clinical Endocrinology of Calcium Metabolism,"" pp 613-615, 1982."
10,# Pages / Video Length:,3
11,Publication Type:,reprints (peer-reviewed)
12,Project #:,R/MP-28
13,Abstract:,****NO ABSTRACT****
