,MetadataField,Metadata
0,NSGL Document #:,CUIMR-R-92-068
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,Asynchrony of changes in tissue and plasma thyroid hormones during the parr-smolt transformation of coho salmon
3,Author:,"Specker, Jennifer L."
4,,"Brown, Christopher L."
5,,"Bern, Howard A."
6,Publication Year :,1992
7,Source Citation:,"""General and Comparative Endocrinology,"" 88:397-405, 1992."
8,# Pages / Video Length:,9
9,Publication Type:,reprints (peer-reviewed)
10,Project #:,R/F-145
11,Notes:,salmonids
12,Abstract:,"The relationship between plasma thyroid hormone concentrations and the thyroid hormone concentrations in selected tissues was examined throughout the spring during the typical course of parr- smolt transformation in coho salmon (""Oncorhynchus kisutch"") in fresh water and also in coho salmon moved prematurely to seawater. The thyroid hormones thyroxine (T4) and triiodothyronin​e (T3) were extracted from brain, liver, and muscle tissue. Findings indicate complex peripheral regulation of thyroidal status in this teleost and represent the first bridge between compartmental models of thyroid hormone kinetics and actual measurement of tissue pools of thyroid hormones in an ectothermic vertebrate. In summary, tissue concentrations of thyroid hormones did not echo plasma concentrations, indicating that thyroidal status cannot be inferred from plasma data alone."
