,MetadataField,Metadata
0,NSGL Document #:,CUIMR-G-90-008
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,Consumer tips for handling seafood safely
3,Author:,"Price, Robert J."
4,Publication Year :,1990
5,# Pages / Video Length:,2
6,Publication Type:,"advisory/extens​ion reports; fact sheets, posters"
7,Program Report #:,UCSGEP 90-10
8,Project #:,A/EA-1
9,Abstract:,"This fact sheet offers consumers advice on seafood purchasing, storing, thawing, handling and preparation. Advice on raw seafood consumption is included."
