,MetadataField,Metadata
0,NSGL Document #:,CASG-Q-19-001
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,California Sea Grant By the Numbers 2019
3,Author:,California Sea Grant
4,Publication Year :,2019
5,Publisher:,University of California Sea Grant College Program
6,# Pages / Video Length:,1
7,Publication Type:,"program reports (annual, progress, planning reports, etc)"
8,Grant/Contract #:,NOAA Sea Grant No. NA18OAR4170073
9,Project #:,C/P/18
10,Abstract:,"All figures shown are for the time period of February 2018 to January 2019, unless otherwise noted."
