,MetadataField,Metadata
0,NSGL Document #:,MASGC-N-09-14c
1,Sea Grant Program/Affiliate:,Mississippi Alabama Sea Grant
2,Title:,"The SandBar (Volume 8:2, July 2009): Legal Reporter for the National Sea Grant College Program"
3,Editor :,"Bowling, Terra"
4,Publication Year :,2009
5,Publisher:,University of Mississippi Sea Grant Law Center
6,# Pages / Video Length:,24
7,Publication Type:,periodicals
8,Program Report #:,MASGP-09-004-02
9,Grant/Contract #:,NOAA Sea Grant No. NA16RG2258
10,,NOAA Sea Grant No. NA06OAR4170078
11,Project #:,O-1
12,Notes:,Four issues published in 2009 (MASGC-​N-​09-​014)
13,Abstract:,"The SandBar is a quarterly publication reporting on legal issues affecting the U.S. oceans and coasts. Its goal is to increase awareness and understanding of coastal problems and issues. The following titles are in this issue: Supreme Court upholds EPA's regulation of intake systems, by B.R. Fredieu; Ninth Circuit affirms NMFS policy on hatchery v. natural salmon, by J. Proctor; DC Circuit vacates Bush-era oil and gas lease expansion, by R. Bradley Hiatt; Obama announces national ocean policy; Michigan court rejects judicial review of agency decisions, by M. McCauley; Hawaii Supreme Court requires EA for superferry, by M. Livingston; New York's objection to the broadwater energy LNG project upheld, by M. A. Sims; Eleventh circuit negligence lawsuit to proceed against the federal government, by J.C. Abe; Supreme court rules on CERCLA apportionment, by Proctor; Maine court affirms criminal conviction of lobsterman, by M. Yarbrough; Court rejects California's mercury warning on tuna, by T. Bowling; Supreme court of Canada rules against neighborhood nuisance, by Proctor; Coast Guard immune from suit for negligent search and rescue, by M.M. Payne; Coast to Coast."
