,MetadataField,Metadata
0,NSGL Document #:,MIT-W-02-003
1,Sea Grant Program/Affiliate:,MIT Sea Grant
2,Title:,Ballast Water Management Workshop: Regional Solutions
3,Author:,"Wellock, Captain Franklin Bradley (Co-Convener)"
4,Editor :,"Pederson, Judith"
5,Publication Year :,2003
6,Source Citation:,"Proceedings of a Workshop, Boston, Massachusetts, September 26, 2002"
7,Publisher:,MIT Sea Grant
8,,Massachusetts Port Authority
9,# Pages / Video Length:,52
10,Publication Type:,conference/work​shop proceedings
11,Program Report #:,MITSG-03-23
12,Abstract:,"This summary of the Workshop on Regional Ballast Water Management held in Boston in 2002 includes presentations, summaries of roundtable discussions, a background paper on ballast water in the north Atlantic, and links to relevant web sites. Topics include various ballast water management practices and programs, and the management perspective of a vessel operator. The following papers are included in this proceedings: 1. Regional ballast water management approach: executive summary. Judith Pederson, pp. 1-5. 2. Ballast water in the Northeast. P. 6. 3. U.S. Coast Guard's ballast water management program. Lt.Cdr. Mary Pat McKeown, pp. 7-13. 4.  Ballast water management in Canada. Mike Balaban, pp. 14-19. 5. California's ballast water management and control program. Maurya Falkner, pp. 20-27. 6. Ballast water management practices of foreign flag vessels. Anjuna Langevin, pp. 28-30. 7. A vessel operator's perspective in the context of a regional approach on ballast water management for the North-West Atlantic. Captain Neil Graham pp. 31-33."
