,MetadataField,Metadata
0,NSGL Document #:,CUIMR-R-83-011
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,"A PROPOSED DUAL ROLE OF ODOR IN FORAGING BY THE CALIFORNIA SPINY LOBSTER, ""PANULIRUS INTERRUPTUS"" (RANDALL)"
3,Author:,"ZIMMER-FAUST, RICHARD K"
4,,"CASE, JAMES F"
5,Publication Year :,1983
6,Source Citation:,"THE BIOLOGICAL BULLETIN, 164(02):0341-​0353, APRIL 1983"
7,Publication Type:,reprints (peer-reviewed)
8,Project #:,R/F-48
9,Abstract:,LOBSTER;CALIFOR​NIA;ODOR;FEEDIN​G
