,MetadataField,Metadata
0,NSGL Document #:,CUIMR-R-96-006
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,"Two practical syntheses of an anti-​inflammatory sesquiterpene furoic acid from ""Sinularia"" spp"
3,Author:,"Williams, David H."
4,,"Faulkner, D. John"
5,Publication Year :,1996
6,Source Citation:,"""Tetradedron,"" 52(12):4245-​4256, 1996."
7,# Pages / Video Length:,12
8,Publication Type:,reprints (peer-reviewed)
9,Project #:,R/MP-55
10,Abstract:,"A sesquiterpene that is an anti-​inflammatory metabolite of the soft coral ""Sinularia"" spp. has been synthesized by two routes, both of which employ a Claisen rearrangement."
