,MetadataField,Metadata
0,NSGL Document #:,CUIMR-R-83-068
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,"Examination of spermatophore production by laboratory-​maintained lobsters (""Homarus"")"
3,Author:,"Talbot, Prudence"
4,,"Hedgecock, Dennis"
5,,"Borgeson, Will"
6,,"Wilson, Phillip"
7,,"Thaler, Cathy"
8,Publication Year :,1983
9,Source Citation:,"""World Mariculture Society. Journal,"" 14:271-278, 1983."
10,Publication Type:,reprints (peer-reviewed)
11,Project #:,R/A-46
12,Abstract:,"A previously described electrical stimulation technique for collecting spermatophores from living lobsters (""Homarus americanus"") was used successfully on ""H. americanus"", ""H. gammarus"" and hybrid males. Laboratory reared ""H. americanus"" and ""H. gammarus"" extruded spermatophores in 60-85% of all trials; the majority of these were of high quality containing large sperm masses with morphologically normal sperm. Stressed ""H. americanus"" extruded fewer spermatophores of shorter length and inferior quality. Hybrid males extruded spermatophores possessing a morphologically normal wall, but lacking sperm. This electrical stimulation technique can be used to screen males for spermatophore production and identify certain types of infertility."
