,MetadataField,Metadata
0,NSGL Document #:,ORESU-G-04-008
1,Sea Grant Program/Affiliate:,Oregon Sea Grant
2,Title:,Selected crabs of Oregon and Washington identification guide
3,Author:,"Whipple, Monica"
4,,"Yamada, Sylvia"
5,Publication Year :,2004
6,# Pages / Video Length:,2
7,Publication Type:,"advisory/extens​ion reports; fact sheets, posters"
8,Project #:,M/A-20
9,Abstract:,"Oregon Sea Grant has produced a colored fact sheet on crabs in Oregon and Washington. It provides photographs and descriptions of eleven common crabs of the region and two invasive species, the European green crab and the Chinese mitten crab, the latter of which has invaded California and is said to be heading north."
