,MetadataField,Metadata
0,NSGL Document #:,CUIMR-R-92-016
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,"Requalification of a platform in Cook Inlet, Alaska"
3,Author:,"Bea, R. G."
4,,"Landeis, B. T."
5,,"Craig, M. J. K."
6,Publication Year :,1992
7,Source Citation:,"""Offshore Technology Conference,"" pp. 551-562, Houston, Texas, May 4-7, 1992."
8,# Pages / Video Length:,12
9,Publication Type:,reprints (not peer-reviewed)
10,Project #:,R/OE-19
11,Abstract:,"This paper outlines and illustrates an engineering evaluation procedure for re-​qualification of high consequence offshore platforms. The procedure is illustrated with application to a Cook Inlet platform that was damaged by a blowout. The analyses and evaluations documented in this paper indicate that the damage was successfully repaired, and that the structure in its repaired condition is fit for purpose."
