,MetadataField,Metadata
0,NSGL Document #:,SCU-R-87-003
1,Sea Grant Program/Affiliate:,Southern California Sea Grant
2,Title:,"Variability of physical, chemical, and biological parameters in the vicinity of an ocean outfall plume"
3,Author:,"Jones, B. H."
4,,"Bratkovich, A."
5,,"Dickey, T."
6,,"Kleppel, G."
7,,"Steele, A."
8,,"Iturriaga, R."
9,,"Haydock, I."
10,Publication Year :,1987
11,Source Citation:,"""Stratified Flows: Proceedings of the Third International Conference on Stratified Flows,"" pp. 877-890, Pasadena, California, 1987."
12,# Pages / Video Length:,14
13,Publication Type:,reprints (not peer-reviewed)
14,Program Report #:,USCSG-R-03-92
15,Abstract:,"A comprehensive, interdisciplina​ry study of the interaction of an outfall plume with the coastal ocean was conducted off the coast of Los Angeles. During these observations, the plume modified the local stratification and the effluent was advected by the ambient flow field. This study demonstrates that chemical, biological, and optical variables associated with an outfall plume may be effectively used to study the dispersion of buoyant plumes in the coastal ocean."
