,MetadataField,Metadata
0,NSGL Document #:,WISCU-WR-07-001
1,Sea Grant Program/Affiliate:,Wisconsin Sea Grant
2,Title:,Accelerated Freshwater harbor corrosion study in the Duluth-Superior harbor
3,Author:,"Clark, Gene"
4,,"Bowman, Dave"
5,,"Sharrow, Jim"
6,,"Scott, Chad"
7,,"Gunderson, Jeff"
8,Publication Year :,2009
9,Source Citation:,"""Ports 2007 Conference: 30 Years of Sharing Ideas 1977-2007,"" proceedings of the Eleventh International Conference, Wade Watson (ed.), pp. 126, San Diego, California, March 25-28, 2007."
10,DOI #:,10.1061/40834(2​38)126
11,Publisher:,American Society of Civil Engineers (ASCE)
12,# Pages / Video Length:,1
13,Publication Type:,reprints (not peer-reviewed)
14,Program Report #:,WISCU-WR-07-001
15,Project #:,A/AS-1-2
16,Abstract:,Abstract available at DOI: 10.1061/40834(2​38)126
